"","OBJECTID","CommonGenus","CommonName","BotanicalGenus","Botanical","OnStreet","Location","ConditionTreeHealth","DBH","Height","LandmarkTree","Place"
"1",9605,"maple","maple, sugar","Acer","Acer saccharum","COPLEY AVE","2105 COPLEY AVE","Neutral","21 - 25","51-70","Yes","Street"
"2",9534,"maple","maple, Norway","Acer","Acer platanoides","NORWAY RD","1925 NORWAY RD","Good","11 - 15","31-50","No","Street"
"3",39581,"maple","maple, Norway","Acer","Acer platanoides","DEVONSHIRE RD","2009 DEVONSHIRE RD","Neutral","6 - 10","21-30","No","Street"
"4",39249,"spruce","spruce, white","Picea","Picea glauca","KEARNEY RD","2216 MELROSE AVE","Neutral","6 - 10","31-50","No","Street"
"5",37328,"maple","maple, Norway","Acer","Acer platanoides","E EISENHOWER PKWY","2915 E EISENHOWER PKWY","Good","6 - 10","31-50","No","Street"
"6",36332,"tuliptree","tuliptree","Liriodendron","Liriodendron tulipifera","S INDUSTRIAL HWY","2805 S INDUSTRIAL HWY","Very Good","0 - 5","0 - 10","No","Street"
"7",36996,"buckeye","buckeye, yellow","Aesculus","Aesculus octandra","BOARDWALK DR","2841 BOARDWALK DR","Very Good","0 - 5","0 - 10","No","Street"
"8",17763,"maple","maple, red","Acer","Acer rubrum","SALISBURY LN","2675 SALISBURY LN","Neutral","6 - 10","31-50","No","Street"
"9",26514,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","RESEARCH PARK DR","3885 RESEARCH PARK DR","Neutral","6 - 10","21-30","No","Street"
"10",414588,"oak","oak, northern red","Quercus","Quercus rubra","E EISENHOWER PKWY","3201 E EISENHOWER PKWY","Very Good","0 - 5","0 - 10","No","Street"
"11",21012,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","BUHR PARK","BUHR PARK","Neutral","11 - 15","21-30","No","Park"
"12",96687,"hickory","hickory, shellbark","Carya","Carya laciniosa","BUHR PARK","BUHR PARK","Very Good","0 - 5","0 - 10","No","Park"
"13",21273,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","BUHR PARK","BUHR PARK","Neutral","6 - 10","21-30","No","Park"
"14",10530,"spruce","spruce, Norway","Picea","Picea abies","HUNTINGTON PL","433 HUNTINGTON PL","Good","6 - 10","31-50","No","Street"
"16",23265,"elm","elm, Siberian","Ulmus","Ulmus pumila","DWIGHT ST","3200 DWIGHT ST","Neutral","16 - 20","31-50","No","Street"
"17",23929,"maple","maple, silver","Acer","Acer saccharinum","STONE SCHOOL RD","3265 N BAYLIS DR","Bad","26 - 30","51-70","Yes","Street"
"18",214219,"serviceberry","serviceberry, Allegheny","Amelanchier","Amelanchier laevis","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Very Good","0 - 5","11-20","No","Park"
"19",34008,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Neutral","0 - 5","0 - 10","No","Park"
"20",18356,"hawthorn","hawthorn, spp.","Crataegus","Crataegus spp.","VETERANS MEMORIAL PARK","VETERANS MEMORIAL PARK","Neutral","0 - 5","21-30","No","Park"
"21",9866,"sweetgum","sweetgum, American","Liquidambar","Liquidambar styraciflua","HIGHLAND RD","440 HIGHLAND RD","Very Good","0 - 5","0 - 10","No","Street"
"22",30759,"maple","maple, sugar","Acer","Acer saccharum","EIGHTH ST","921 W WASHINGTON ST","Good","11 - 15","31-50","No","Street"
"24",46411,"maackia","Amur maackia","Maackia","Maackia amurensis","LINDA VISTA AVE","314 LINDA VISTA AVE","Very Good","0 - 5","0 - 10","No","Street"
"25",32087,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","FAIR ST","2139 FAIR ST","Good","11 - 15","31-50","No","Street"
"26",31755,"maple","maple, Norway","Acer","Acer platanoides","ABBOTT AVE","222 VIRGINIA AVE","Bad","16 - 20","31-50","Yes","Street"
"27",339174,"elm","elm, Accolade","Ulmus","Ulmus x","VIRGINIA AVE","219 VIRGINIA AVE","Very Good","0 - 5","0 - 10","No","Street"
"28",31091,"maple","maple, sugar","Acer","Acer saccharum","CREST AVE","263 CREST AVE","Good","21 - 25","51-70","Yes","Street"
"29",55233,"linden","linden, American","Tilia","Tilia americana","W JEFFERSON ST","720 W JEFFERSON ST","Good","16 - 20","30 - 50","No","Street"
"30",32419,"maple","maple, red","Acer","Acer rubrum","W LIBERTY ST","806 W LIBERTY ST","Good","0 - 5","10 - 20","No","Street"
"31",34340,"oak","oak, bur","Quercus","Quercus macrocarpa","LESLIE SCIENCE CENTER","LESLIE SCIENCE CENTER","Good","0 - 5","11-20","No","Park"
"32",13447,"coffeetree","Kentucky coffeetree","Gymnocladus","Gymnocladus dioicus","PLYMOUTH RD","1601 PLYMOUTH RD","Very Good","0 - 5","0 - 10","No","Street"
"33",347735,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","W LIBERTY ST","1571 W LIBERTY ST","Good","0 - 5","0 - 10","No","Street"
"34",1447,"maple","maple, Norway","Acer","Acer platanoides","EVELYN CT","1845 ARBORDALE ST","Neutral","6 - 10","21-30","No","Street"
"35",1376,"maple","maple, sugar","Acer","Acer saccharum","IVYWOOD DR","1823 IVYWOOD DR","Neutral","11 - 15","31-50","No","Street"
"37",1115,"linden","linden, littleleaf","Tilia","Tilia cordata","E DOBSON PL","3324 E DOBSON PL","Good","11 - 15","31-50","No","Street"
"38",22601,"linden","linden, littleleaf","Tilia","Tilia cordata","DELAWARE DR","2361 DELAWARE DR","Good","11 - 15","31-50","No","Street"
"39",21676,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","SCIO CHURCH RD","500 SCIO CHURCH RD","Neutral","0 - 5","11-20","No","Street"
"40",1708,"elm","elm, smoothleaf","Ulmus","Ulmus carpinifolia","NORMANDY RD","1521 NORMANDY RD","Very Good","0 - 5","21-30","No","Street"
"41",36000,"fringetree","fringetree, white","Chionanthus","Chionanthus virginicus","SUFFOLK AVE","2004 SUFFOLK AVE","Neutral","0 - 5","11-20","No","Street"
"42",8870,"maple","maple, silver","Acer","Acer saccharinum","OLIVIA AVE","1047 OLIVIA AVE","Neutral","26 - 30","51-70","Yes","Street"
"43",56893,"mulberry","mulberry, red","Morus","Morus rubra","ARCH ST","829 ARCH ST","Neutral","31 - 35","GT70","Yes","Street"
"44",21937,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","MERSHON DR","2106 MERSHON DR","Good","0 - 5","11-20","No","Street"
"45",22008,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","GREENVIEW DR","2192 GREENVIEW DR","Neutral","11 - 15","31-50","No","Street"
"46",8277,"maple","maple, silver","Acer","Acer saccharinum","GRANGER AVE","1331 GRANGER AVE","Neutral","31 - 35","GT70","Yes","Street"
"47",8609,"maple","maple, sugar","Acer","Acer saccharum","BALDWIN AVE","1024 BALDWIN AVE","Neutral","16 - 20","51-70","Yes","Street"
"48",14443,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","W SUMMIT ST","801 MINER ST","Neutral","16 - 20","51-70","No","Street"
"50",25850,"maple","maple, red","Acer","Acer rubrum","E EISENHOWER PKWY","410 E EISENHOWER PKWY","Neutral","6 - 10","11-20","No","Street"
"51",44822,"maple","maple, sugar","Acer","Acer saccharum","MORNINGSIDE DR","1217 MORNINGSIDE DR","Good","16 - 20","51-70","Yes","Street"
"52",293546,"lilac","lilac, Japanese tree","Syringa","Syringa reticulata","BEAKES ST","325 BEAKES ST","Very Good","0 - 5","0 - 10","No","Street"
"53",54308,"pear","pear, callery","Pyrus","Pyrus calleryana","N FOURTH AVE","204 N FOURTH AVE","Bad","6 - 10","20 - 30","No","Street"
"54",54569,"pear","pear, callery","Pyrus","Pyrus calleryana","N FOURTH AVE","101 E HURON ST","Bad","0 - 5","10 - 20","No","Street"
"56",25257,"elm","elm, Pioneer","Ulmus","ulmus x hollandica","WAYMARKET DR","401 WAYMARKET DR","Very Good","0 - 5","0 - 10","No","Street"
"57",25518,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","W EISENHOWER PKWY","501 W EISENHOWER PKWY","Neutral","0 - 5","0 - 10","No","Street"
"58",5953,"maple","maple, sugar","Acer","Acer saccharum","SECOND ST","402 SECOND ST","Neutral","26 - 30","GT70","Yes","Street"
"59",30498,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","E LIBERTY ST","105 E LIBERTY ST","Bad","0 - 5","11-20","No","Street"
"60",63059,"oak","oak, bur","Quercus","Quercus macrocarpa","LAWRENCE ST","710 LAWRENCE ST","Very Good","0 - 5","0 - 10","No","Street"
"61",40909,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","BLUETT DR","3179 BLUETT DR","Good","11 - 15","31-50","No","Street"
"62",52316,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","CARL CT","3381 CARL CT","Good","11 - 15","31-50","No","Street"
"63",48735,"pine","pine, Austrian","Pinus","Pinus nigra","SUGARBUSH PARK","SUGARBUSH PARK","Neutral","11 - 15","51-70","No","Park"
"64",50063,"oak","oak, northern red","Quercus","Quercus rubra","GALLUP PARK","GALLUP PARK","Good","11 - 15","51-70","No","Park"
"65",5692,"maple","maple, Norway","Acer","Acer platanoides","S FIRST ST","543 S FIRST ST","Good","6 - 10","30 - 50","No","Street"
"66",48071,"maple","maple, sugar","Acer","Acer saccharum","NEWPORT RD","2274 NEWPORT RD","Neutral","26 - 30","GT70","Yes","Street"
"67",41241,"maple","maple, Norway","Acer","Acer platanoides","ARGONNE DR","2701 ARGONNE DR","Neutral","6 - 10","21-30","No","Street"
"68",50727,"spruce","spruce, Colorado","Picea","Picea pungens","FULLER PARK","FULLER PARK","Good","6 - 10","31-50","No","Park"
"69",50656,"pine","pine, Austrian","Pinus","Pinus nigra","FULLER PARK","FULLER PARK","Good","11 - 15","51-70","No","Park"
"70",29834,"hemlock","hemlock, eastern","Tsuga","Tsuga candensis","CEDAR BEND DR","1035 CEDAR BEND DR","Good","0 - 5","0 - 10","No","Borderline"
"72",43162,"linden","linden, American","Tilia","Tilia americana","TRAVER RD","1230 TRAVER RD","Good","21 - 25","51-70","Yes","Street"
"73",42830,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","PONTIAC TRL","1518 PONTIAC TRL","Neutral","0 - 5","0 - 10","No","Street"
"74",37992,"linden","linden, American","Tilia","Tilia americana","WINCHELL DR","2115 WINCHELL DR","Good","16 - 20","51-70","Yes","Street"
"75",37921,"maple","maple, red","Acer","Acer rubrum","CARHART AVE","2109 CARHART AVE","Good","6 - 10","21-30","No","Street"
"76",37660,"maple","maple, sugar","Acer","Acer saccharum","BROCKMAN BLVD","2809 BROCKMAN BLVD","Good","16 - 20","51-70","Yes","Street"
"77",20348,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","RIVERSIDE PARK","RIVERSIDE PARK","Neutral","6 - 10","21-30","No","Park"
"78",13779,"maple","maple, sugar","Acer","Acer saccharum","BROADWAY ST","1305 BROADWAY ST","Neutral","6 - 10","31-50","No","Street"
"79",33415,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","JACKSON RD","2900 JACKSON RD","Neutral","21 - 25","51-70","Yes","Street"
"80",348660,"coffeetree","Kentucky coffeetree","Gymnocladus","Gymnocladus dioicus","PINEWOOD ST","342 PINEWOOD ST","Very Good","0 - 5","0 - 10","No","Street"
"81",47407,"maple","maple, Japanese","Acer","Acer palmatum","VALLEY DR","315 BARBER AVE","Neutral","0 - 5","0 - 10","No","Street"
"82",3700,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","YORKSHIRE RD","2338 YORKSHIRE RD","Neutral","21 - 25","51-70","Yes","Street"
"83",21344,"pine","pine, Austrian","Pinus","Pinus nigra","MANCHESTER PARK","MANCHESTER PARK","Very Bad","11 - 15","51-70","No","Park"
"84",49731,"maple","maple, red","Acer","Acer rubrum","BANDEMER PARK","BANDEMER PARK","Neutral","0 - 5","11-20","No","Park"
"86",19352,"spruce","spruce, Norway","Picea","Picea abies","BURR OAK PARK","BURR OAK PARK","Neutral","0 - 5","21-30","No","Park"
"87",32751,"linden","linden, littleleaf","Tilia","Tilia cordata","BURR OAK DR","375 BURR OAK DR","Neutral","6 - 10","31-50","No","Street"
"88",33083,"maple","maple, Norway","Acer","Acer platanoides","GRALAKE AVE","2997 LAKEVIEW DR","Neutral","11 - 15","31-50","No","Street"
"89",338842,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","GRALAKE AVE","2996 LAKEVIEW DR","Very Good","0 - 5","0 - 10","No","Street"
"90",15107,"serviceberry","serviceberry, Princess Diana","Amelanchier","Amelanchier x grandiflora","W SUMMIT ST","744 SPRING ST","Very Good","0 - 5","0 - 10","No","Street"
"91",53976,"maple","maple, sugar","Acer","Acer saccharum","N FIFTH AVE","708 N FIFTH AVE","Neutral","0 - 5","0 - 10","No","Street"
"92",20016,"oak","oak, northern red","Quercus","Quercus rubra","WHEELER PARK","WHEELER PARK","Neutral","11 - 15","51-70","No","Park"
"94",49399,"linden","linden, American","Tilia","Tilia americana","ARGO NATURE AREA","ARGO NATURE AREA","Good","21 - 25","51-70","Yes","Park"
"95",42569,"maple","maple, red","Acer","Acer rubrum","WRIGHT ST","1219 WRIGHT ST","Neutral","11 - 15","21-30","No","Street"
"97",348992,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","HILL ST","546 PACKARD RD","Very Good","0 - 5","0 - 10","No","Street"
"98",56229,"linden","linden, American","Tilia","Tilia americana","THOMPSON ST","520 E MADISON ST","Neutral","26 - 30","51-70","Yes","Street"
"100",52648,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","GEORGETOWN BLVD","2059 GEORGETOWN BLVD","Neutral","16 - 20","51-70","Yes","Street"
"102",38917,"maple","maple, Norway","Acer","Acer platanoides","TERHUNE RD","3606 TERHUNE RD","Neutral","21 - 25","51-70","Yes","Street"
"103",50395,"oak","oak, northern red","Quercus","Quercus rubra","SOUTHEAST AREA PARK","SOUTHEAST AREA PARK","Good","0 - 5","21-30","No","Park"
"104",12854,"walnut","walnut, black","Juglans","Juglans nigra","TRAVER BLVD","2685 TRAVER BLVD","Good","26 - 30","51-70","Yes","Street"
"106",11526,"maple","maple, red","Acer","Acer rubrum","FAIRHAVEN CT","3110 FAIRHAVEN CT","Good","0 - 5","11-20","No","Street"
"108",35668,"maple","maple, Norway","Acer","Acer platanoides","RUNNYMEDE BLVD","2026 RUNNYMEDE BLVD","Good","6 - 10","21-30","No","Street"
"109",2040,"linden","linden, littleleaf","Tilia","Tilia cordata","WARWICK CT","1543 WALTHAM DR","Neutral","16 - 20","51-70","Yes","Street"
"110",2372,"cherry","cherry, Higan","Prunus","Prunus subhirtella autumnalis","DICKEN DR","1651 DICKEN DR","Very Good","0 - 5","0 - 10","No","Street"
"111",13115,"tuliptree","tuliptree","Liriodendron","Liriodendron tulipifera","TRAVERWOOD DR","2300 TRAVERWOOD DR","Good","0 - 5","0 - 10","No","Street"
"112",50988,"pine","pine, mugo","Pinus","Pinus mugo","HUNTING VALLEY RD","3000 HUNTING VALLEY RD","Very Good","0 - 5","0 - 10","No","Street"
"114",5360,"spruce","spruce, white","Picea","Picea glauca","OVERRIDGE DR","3111 OVERRIDGE DR","Very Good","0 - 5","11-20","No","Street"
"115",49992,"hackberry","hackberry, common","Celtis","Celtis occidentalis","GALLUP PARK","GALLUP PARK","Neutral","0 - 5","0 - 10","No","Park"
"116",51320,"tree-of-heaven","tree-of-heaven","Ailanthus","Ailanthus altissima","DEVONSHIRE RD","2930 DEVONSHIRE RD","Neutral","6 - 10","31-50","No","Borderline"
"117",22269,"mulberry","mulberry, white","Morus","Morus alba","STEEPLECHASE DR","2130 STEEPLECHASE DR","Neutral","0 - 5","21-30","No","Street"
"118",29170,"zelkova","zelkova, Japanese","Zelkova","Zelkova serrata","EARHART RD","1201 EARHART RD","Neutral","6 - 10","21-30","No","Street"
"119",1044,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","CRAWFORD LN","1454 CRAWFORD LN","Good","11 - 15","31-50","No","Street"
"120",783,"walnut","walnut, black","Juglans","Juglans nigra","GREEN RD","1720 GREEN RD","Good","16 - 20","51-70","Yes","Street"
"121",51984,"tuliptree","tuliptree","Liriodendron","Liriodendron tulipifera","HAWTHORN RD","1421 ROXBURY RD","Good","0 - 5","11-20","No","Street"
"122",47739,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","RAVENWOOD AVE","1316 RAVENWOOD AVE","Good","6 - 10","11-20","No","Street"
"123",124410,"sumac","sumac, fragrant","Rhus","Rhus Aromatica ‘Gro-low'","OLSON PARK","OLSON PARK","Very Good","0 - 5","0 - 10","No","Park"
"124",48403,"maple","maple, red","Acer","Acer rubrum","OLSON PARK","OLSON PARK","Neutral","0 - 5","11-20","No","Park"
"125",11194,"locust","locust, black","Robinia","Robinia pseudoacacia","GLAZIER WAY","3660 GLAZIER WAY","Neutral","11 - 15","31-50","No","Street"
"126",119,"linden","linden, silver","Tilia","Tilia tomentosa","CHARTER PL","3680 CHARTER PL","Good","0 - 5","11-20","No","Street"
"127",28838,"pear","pear, callery","Pyrus","Pyrus calleryana","GREENHILLS DR","860 GREENHILLS DR","Good","0 - 5","11-20","No","Street"
"128",10862,"spruce","spruce, Norway","Picea","Picea abies","WALDENWOOD DR","3835 WALDENWOOD DR","Neutral","6 - 10","31-50","No","Street"
"129",46743,"maple","maple, silver","Acer","Acer saccharinum","CENTER DR","635 CENTER DR","Good","6 - 10","31-50","No","Street"
"130",201816,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","KUEHNLE AVE","755 KUEHNLE AVE","Good","0 - 5","0 - 10","No","Street"
"131",47075,"maple","maple, Norway","Acer","Acer platanoides","BARBER AVE","647 BARBER AVE","Good","6 - 10","31-50","No","Street"
"132",30166,"pagodatree","Japanese pagodatree","Sophora","Sophora japonica","GEDDES AVE","1304 GEDDES AVE","Neutral","0 - 5","31-50","No","Street"
"134",36664,"linden","linden, American","Tilia","Tilia americana","PAGE AVE","2666 PAGE CT","Good","31 - 35","51-70","Yes","Street"
"135",3036,"linden","linden, littleleaf","Tilia","Tilia cordata","PACKARD ST","2111 PACKARD ST","Good","11 - 15","31-50","No","Street"
"136",9202,"maple","maple, hedge","Acer","Acer campestre","SHADFORD RD","1702 SHADFORD RD","Good","6 - 10","11-20","No","Street"
"137",5621,"maple","maple, sugar","Acer","Acer saccharum","FIFTH ST","702 FIFTH ST","Bad","16 - 20","30 - 50","Yes","Street"
"138",55565,"maple","maple, sugar","Acer","Acer saccharum","SOULE BLVD","726 SOULE BLVD","Good","6 - 10","31-50","No","Street"
"140",224630,"serviceberry","serviceberry, Allegheny","Amelanchier","Amelanchier laevis","GALLUP PARK","GALLUP PARK","Very Good","0 - 5","0 - 10","No","Park"
"142",45486,"linden","linden, littleleaf","Tilia","Tilia cordata","FRANKLIN ST","1865 FRANKLIN ST","Neutral","6 - 10","21-30","No","Street"
"143",7945,"linden","linden, littleleaf","Tilia","Tilia cordata","S STATE ST","2500 S STATE ST","Neutral","6 - 10","21-30","No","Street"
"144",34672,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","KAY PKWY","1700 W STADIUM BLVD","Neutral","6 - 10","31-50","No","Street"
"145",38253,"maple","maple, Norway","Acer","Acer platanoides","HAMPSHIRE RD","2663 HAMPSHIRE RD","Neutral","16 - 20","31-50","Yes","Street"
"147",46814,"maple","maple, Norway","Acer","Acer platanoides","LOUISE DR","646 LOUISE DR","Neutral","16 - 20","51-70","Yes","Street"
"148",16435,"planetree/sycamore","sycamore, American","Platanus","Platanus occidentalis","WALTER DR","2304 WALTER DR","Good","31 - 35","GT70","Yes","Street"
"150",38585,"maple","maple, silver","Acer","Acer saccharinum","MAPLEWOOD AVE","2836 MAPLEWOOD AVE","Neutral","16 - 20","51-70","No","Street"
"151",38656,"elm","elm, Siberian","Ulmus","Ulmus pumila","PARKWOOD AVE","2893 PARKWOOD AVE","Good","26 - 30","51-70","Yes","Street"
"152",4364,"crabapple","crabapple, flowering","Malus","Malus spp.","GLOUCESTER WAY","2672 GLOUCESTER WAY","Very Good","0 - 5","0 - 10","No","Street"
"153",4696,"cherry","cherry, choke (Canada Red Select)","Prunus","Prunus virginiana","EDGEWOOD DR","2501 PITTSFIELD BLVD","Very Good","0 - 5","0 - 10","No","Street"
"154",4957,"tuliptree","tuliptree","Liriodendron","Liriodendron tulipifera","YOST BLVD","2328 YOST BLVD","Good","0 - 5","11-20","No","Street"
"155",5028,"juniper","redcedar, eastern","Juniperus","Juniperus virginiana","SALEM CT","3620 MARGARET DR","Good","0 - 5","21-30","No","Street"
"156",50324,"hickory","hickory, shagbark","Carya","Carya ovata","SYLVAN PARK","SYLVAN PARK","Neutral","16 - 20","51-70","Yes","Park"
"157",24593,"maple","maple, red","Acer","Acer rubrum","ALGEBE WAY","1615 MEADOWSIDE DR","Good","0 - 5","11-20","No","Street"
"158",39226,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","KEARNEY RD","1510 KEARNEY RD","Bad","21 - 25","51-70","No","Street"
"159",39343,"maple","maple, sugar","Acer","Acer saccharum","SHANNONDALE RD","2446 SHANNONDALE RD","Good","16 - 20","51-70","Yes","Street"
"160",52007,"maple","maple, sugar","Acer","Acer saccharum","HAWTHORN RD","2355 LONDONDERRY RD","Neutral","16 - 20","51-70","Yes","Street"
"161",39558,"maple","maple, silver","Acer","Acer saccharinum","DEVONSHIRE RD","2119 DEVONSHIRE RD","Neutral","21 - 25","GT70","Yes","Street"
"162",414611,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","PINE VALLEY BLVD","1453 PINE VALLEY BLVD","Good","0 - 5","0 - 10","No","Street"
"163",37019,"aspen/poplar","cottonwood, eastern","Populus","Populus deltoides","BOARDWALK DR","2575 BOARDWALK DR","Neutral","6 - 10","51-70","No","Street"
"164",17715,"maple","maple, Norway","Acer","Acer platanoides","WARRINGTON DR","1141 WARRINGTON DR","Neutral","6 - 10","31-50","No","Street"
"165",36687,"linden","linden, American","Tilia","Tilia americana","PAGE AVE","1505 KING GEORGE BLVD","Good","16 - 20","51-70","Yes","Street"
"166",22910,"maple","maple, sugar","Acer","Acer saccharum","WEXFORD CT","3430 WEXFORD CT","Neutral","16 - 20","51-70","Yes","Street"
"167",23027,"oak","oak, English","Quercus","Quercus robur","TACOMA CIR","3301 TACOMA CIR","Good","6 - 10","31-50","No","Street"
"168",36902,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","KING GEORGE BLVD","1378 KING GEORGE BLVD","Good","21 - 25","51-70","No","Street"
"169",20918,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","ESCH PARK","ESCH PARK","Neutral","11 - 15","31-50","Yes","Park"
"170",224653,"serviceberry","serviceberry, Allegheny","Amelanchier","Amelanchier laevis","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Very Good","0 - 5","0 - 10","No","Park"
"171",21250,"spruce","spruce, Colorado","Picea","Picea pungens","BUHR PARK","BUHR PARK","Good","6 - 10","31-50","No","Park"
"172",3391,"maple","maple, Norway","Acer","Acer platanoides","ESSEX RD","2642 ESSEX RD","Good","21 - 25","51-70","Yes","Street"
"173",37234,"spruce","spruce, Colorado","Picea","Picea pungens","E EISENHOWER PKWY","3080 E EISENHOWER PKWY","Good","11 - 15","51-70","No","Street"
"174",37351,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","E EISENHOWER PKWY","2915 E EISENHOWER PKWY","Good","11 - 15","31-50","No","Street"
"175",18379,"yellowwood","yellowwood, American","Cladrastis","Cladrastis kentukea","VETERANS MEMORIAL PARK","VETERANS MEMORIAL PARK","Neutral","0 - 5","0 - 10","No","Park"
"176",23242,"maple","maple, Norway","Acer","Acer platanoides","N BAYLIS DR","2895 N BAYLIS DR","Neutral","16 - 20","31-50","Yes","Street"
"177",144069,"parrotia","Persian parrotia","Parrotia","Parrotia persica","STONE SCHOOL RD","3100 N BAYLIS DR","Very Good","0 - 5","0 - 10","No","Street"
"178",31400,"maple","maple, sugar","Acer","Acer saccharum","S REVENA BLVD","1423 W HURON ST","Good","21 - 25","GT70","Yes","Street"
"179",32064,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","THALER AVE","2040 THALER AVE","Neutral","6 - 10","21-30","No","Street"
"180",31732,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","GLENDALE DR","1814 CHARLTON AVE","Good","21 - 25","51-70","Yes","Street"
"181",55210,"maple","maple, sugar","Acer","Acer saccharum","W JEFFERSON ST","821 W JEFFERSON ST","Good","21 - 25","31-50","Yes","Street"
"182",32396,"maple","maple, sugar","Acer","Acer saccharum","W LIBERTY ST","500 W LIBERTY ST","Good","26 - 30","GT70","Yes","Street"
"183",19043,"pine","pine, Austrian","Pinus","Pinus nigra","WATERWORKS PARK","WATERWORKS PARK","Neutral","16 - 20","51-70","Yes","Park"
"184",31185,"maple","maple, Norway","Acer","Acer platanoides","W WASHINGTON ST","1106 W WASHINGTON ST","Neutral","21 - 25","31-50","Yes","Street"
"185",34363,"walnut","walnut, black","Juglans","Juglans nigra","LESLIE SCIENCE CENTER","LESLIE SCIENCE CENTER","Neutral","26 - 30","51-70","Yes","Park"
"186",13424,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","PLYMOUTH RD","1651 PLYMOUTH RD","Very Good","0 - 5","0 - 10","No","Street"
"188",55542,"maple","maple, sugar","Acer","Acer saccharum","SOULE BLVD","602 SOULE BLVD","Good","26 - 30","GT70","Yes","Street"
"189",27865,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","VIRNANKAY CIR","1841 VIRNANKAY CIR","Good","0 - 5","11-20","No","Street"
"191",96,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","WOLVERHAMPTON LN","1150 WOLVERHAMPTON LN","Good","0 - 5","0 - 10","No","Street"
"192",49708,"oak","oak, northern red","Quercus","Quercus rubra","BANDEMER PARK","BANDEMER PARK","Neutral","0 - 5","11-20","No","Park"
"193",21914,"maple","boxelder","Acer","Acer negundo","SCIO CHURCH RD","2016 GREENVIEW DR","Neutral","16 - 20","31-50","Yes","Street"
"194",1731,"pear","pear, callery","Pyrus","Pyrus calleryana","BARNARD RD","1525 BARNARD RD","Good","0 - 5","21-30","No","Street"
"195",2063,"maple","maple, Norway","Acer","Acer platanoides","WINSTED BLVD","1614 WINSTED BLVD","Neutral","16 - 20","21-30","Yes","Street"
"196",35691,"maple","maple, sugar","Acer","Acer saccharum","RUNNYMEDE BLVD","2140 RUNNYMEDE BLVD","Neutral","11 - 15","51-70","No","Street"
"197",55991,"maple","maple, Norway","Acer","Acer platanoides","LENNOX ST","940 LENNOX ST","Good","16 - 20","31-50","Yes","Street"
"198",8586,"maple","maple, Norway","Acer","Acer platanoides","CAMBRIDGE RD","1601 CAMBRIDGE RD","Neutral","16 - 20","31-50","No","Street"
"199",22031,"tuliptree","tuliptree","Liriodendron","Liriodendron tulipifera","DELAWARE DR","2030 DELAWARE DR","Good","0 - 5","11-20","No","Street"
"200",22363,"maple","maple, Norway","Acer","Acer platanoides","MOREHEAD CT","1285 MOREHEAD CT","Neutral","6 - 10","21-30","No","Street"
"201",21582,"maackia","Amur maackia","Maackia","Maackia amurensis","CHAUCER DR","2066 CHAUCER DR","Good","0 - 5","0 - 10","No","Street"
"202",331703,"maple","maple, Miyabei","Acer","Acer miyabei","CHAUCER DR","2042 CHAUCER DR","Good","0 - 5","0 - 10","No","Street"
