"","OBJECTID","CommonGenus","CommonName","BotanicalGenus","Botanical","OnStreet","Location","ConditionTreeHealth","DBH","Height","LandmarkTree","Place"
"1669",414880,"coffeetree","Kentucky coffeetree","Gymnocladus","Gymnocladus dioicus","GREEN RD","3621 BURBANK DR","Very Good","0 - 5","0 - 10","No","Street"
"1670",48612,"spruce","spruce, Colorado","Picea","Picea pungens","SUGARBUSH PARK","SUGARBUSH PARK","Good","6 - 10","31-50","No","Park"
"1671",5984,"filbert","filbert, Turkish","Corylus","Corylus colurna","THIRD ST","439 THIRD ST","Very Good","0 - 5","10 - 20","No","Street"
"1672",32379,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","W LIBERTY ST","403 W LIBERTY ST","Good","6 - 10","31-50","No","Street"
"1673",6325,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","S MAIN ST","106 PACKARD ST","Good","0 - 5","0 - 10","No","Street"
"1674",181796,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","N FIFTH AVE","219 E HURON ST","Very Good","0 - 5","10 - 20","No","Street"
"1675",37952,"maple","maple, sugar","Acer","Acer saccharum","HALL AVE","2100 HALL AVE","Good","11 - 15","31-50","No","Street"
"1676",50687,"oak","oak, swamp white","Quercus","Quercus bicolor","FULLER PARK","FULLER PARK","Neutral","0 - 5","0 - 10","No","Park"
"1677",13988,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","CEDAR BEND DR","1540 CEDAR BEND DR","Good","16 - 20","0 - 10","Yes","Street"
"1678",13739,"maple","maple, Norway","Acer","Acer platanoides","BROADWAY ST","1601 BROADWAY ST","Neutral","11 - 15","31-50","No","Street"
"1680",42707,"catalpa","catalpa, northern","Catalpa","Catalpa speciosa","PEAR ST","1505 PEAR ST","Bad","16 - 20","51-70","No","Street"
"1681",33707,"hawthorn","hawthorn, Washington","Crataegus","Crataegus phaenopyrum","ARBOR OAKS PARK","ARBOR OAKS PARK","Neutral","0 - 5","11-20","No","Park"
"1683",18316,"maple","maple, sugar","Acer","Acer saccharum","HAZELWOOD AVE","330 HAZELWOOD AVE","Neutral","16 - 20","51-70","Yes","Street"
"1685",3660,"juniper","redcedar, eastern","Juniperus","Juniperus virginiana","GLADSTONE AVE","2003 CAMELOT RD","Very Good","0 - 5","0 - 10","No","Street"
"1686",45031,"hornbeam","hornbeam, European","Carpinus","Carpinus betulus","DANIEL ST","827 DANIEL ST","Very Good","0 - 5","0 - 10","No","Street"
"1687",15067,"maple","maple, Norway","Acer","Acer platanoides","HISCOCK ST","191 HISCOCK ST","Neutral","11 - 15","21-30","No","Street"
"1688",53936,"locust","locust, black","Robinia","Robinia pseudoacacia","N FOURTH AVE","660 N FOURTH AVE","Bad","6 - 10","31-50","No","Street"
"1689",42621,"oak","oak, swamp white","Quercus","Quercus bicolor","WRIGHT ST","1007 WRIGHT ST","Good","0 - 5","0 - 10","No","Street"
"1690",42375,"maple","maple, Norway","Acer","Acer platanoides","OTTAWA RD","1515 OTTAWA RD","Good","11 - 15","31-50","No","Street"
"1691",44035,"linden","linden, littleleaf","Tilia","Tilia cordata","CULVER RD","1308 CULVER RD","Neutral","16 - 20","51-70","No","Street"
"1692",4988,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","OAKWOOD ST","3428 OAKWOOD ST","Very Good","6 - 10","11-20","No","Street"
"1693",4997,"maple","maple, silver","Acer","Acer saccharinum","OAKWOOD ST","3580 OAKWOOD ST","Good","11 - 15","51-70","No","Street"
"1695",14735,"juniper","redcedar, eastern","Juniperus","Juniperus virginiana","W SUMMIT ST","515 W SUMMIT ST","Neutral","0 - 5","0 - 10","No","Street"
"1696",41293,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","PRAIRIE ST","3001 PLYMOUTH RD","Good","11 - 15","31-50","No","Street"
"1697",52940,"maackia","Amur maackia","Maackia","Maackia amurensis","YORKTOWN DR","2174 YORKTOWN DR","Very Good","0 - 5","0 - 10","No","Street"
"1698",48858,"maple","maple, Japanese","Acer","Acer palmatum","BROMLEY PARK","2731 BROMLEY PARK","Neutral","0 - 5","11-20","No","Street"
"1699",40949,"pear","pear, callery","Pyrus","Pyrus calleryana","BLUETT DR","2555 BLUETT DR","Neutral","0 - 5","11-20","No","Street"
"1700",33870,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","ELLSWORTH PARK","ELLSWORTH PARK","Neutral","0 - 5","11-20","No","Park"
"1701",12313,"maple","maple, red","Acer","Acer rubrum","TAMARACK CT","2424 TAMARACK CT","Neutral","6 - 10","11-20","No","Street"
"1702",11735,"maple","maple, red","Acer","Acer rubrum","FOXWAY DR","3124 FOXWAY DR","Neutral","0 - 5","11-20","No","Street"
"1703",12230,"maple","maple, red","Acer","Acer rubrum","FOXWAY DR","3094 BIRCHWOOD DR","Bad","0 - 5","11-20","No","Street"
"1704",29625,"oak","oak, shingle","Quercus","Quercus imbricaria","HURON PKWY","1600 HURON PKWY","Bad","0 - 5","11-20","No","Street"
"1705",13407,"juniper","redcedar, eastern","Juniperus","Juniperus virginiana","UPLAND DR","1721 UPLAND DR","Neutral","6 - 10","31-50","Yes","Borderline"
"1709",12906,"spruce","spruce, Colorado","Picea","Picea pungens","TRAVER BLVD","2445 TRAVER BLVD","Good","6 - 10","51-70","No","Street"
"1710",12562,"maple","maple, Norway","Acer","Acer platanoides","PLACID WAY","2880 LAKEHURST LN","Neutral","6 - 10","21-30","No","Street"
"1711",22309,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","CHURCHILL DR","2335 CHURCHILL DR","Good","11 - 15","31-50","No","Street"
"1712",22300,"maple","maple, Freeman","Acer","Acer x freemanii","CHURCHILL DR","2200 CHURCHILL DR","Good","6 - 10","31-50","No","Street"
"1713",1988,"maple","maple, sugar","Acer","Acer saccharum","DUNMORE RD","1906 DUNMORE RD","Good","11 - 15","31-50","No","Street"
"1714",2000,"maple","maple, Norway","Acer","Acer platanoides","WELDON BLVD","1708 GLASTONBURY RD","Neutral","16 - 20","31-50","Yes","Street"
"1715",2332,"tuliptree","tuliptree","Liriodendron","Liriodendron tulipifera","TUDOR DR","1649 TUDOR DR","Very Good","0 - 5","11-20","No","Street"
"1716",51019,"hickory","hickory, shagbark","Carya","Carya ovata","HUNTING VALLEY RD","3040 HUNTING VALLEY RD","Very Good","0 - 5","0 - 10","No","Street"
"1717",5329,"spruce","spruce, white","Picea","Picea glauca","MILLS CT","3148 MILLS CT","Good","0 - 5","11-20","No","Street"
"1718",51268,"cherry","cherry, Higan","Prunus","Prunus subhirtella autumnalis","HICKORY LN","2988 HICKORY LN","Very Good","0 - 5","0 - 10","No","Street"
"1719",28297,"ginkgo","ginkgo","Ginkgo","Ginkgo biloba","S HURON PKWY","1979 S HURON PKWY","Very Good","0 - 5","0 - 10","No","Street"
"1720",26637,"hawthorn","hawthorn, spp.","Crataegus","Crataegus spp.","RESEARCH PARK DR","3852 RESEARCH PARK DR","Neutral","6 - 10","21-30","No","Street"
"1722",660,"maple","maple, red","Acer","Acer rubrum","WYNNSTONE DR","3930 WYNNSTONE DR","Neutral","0 - 5","11-20","No","Street"
"1723",29379,"hophornbeam","hophornbeam, American","Ostrya","Ostrya virginiana","GREEN BRIER BLVD","3615 GREEN BRIER BLVD","Very Good","0 - 5","0 - 10","No","Street"
"1724",29293,"maple","maple, silver","Acer","Acer saccharinum","FREDERICK DR","3551 FREDERICK DR","Neutral","16 - 20","51-70","No","Street"
"1725",51612,"ash","ash, green","Fraxinus","Fraxinus pennsylvanica","ARLINGTON BLVD","1242 ARLINGTON BLVD","Very Bad","0 - 5","11-20","No","Street"
"1726",328,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","CHARTER PL","3530 CHARTER PL","Neutral","6 - 10","31-50","No","Street"
"1727",10739,"maple","maple, Norway","Acer","Acer platanoides","WALDENWOOD DR","3890 TREMONT PL","Neutral","0 - 5","21-30","No","Street"
"1728",11234,"ginkgo","ginkgo","Ginkgo","Ginkgo biloba","GLAZIER WAY","1000 FAIRMOUNT DR","Good","0 - 5","11-20","No","Street"
"1729",10902,"pine","pine, eastern white","Pinus","Pinus strobus","BURNS CT","3720 BURNS CT","Neutral","6 - 10","31-50","No","Street"
"1730",348620,"katsura","katsuratree","Cercidiphyllum","Cercidiphyllum japonicum","BARBER AVE","361 BARBER AVE","Very Good","0 - 5","0 - 10","No","Street"
"1731",47284,"maple","maple, silver","Acer","Acer saccharinum","PINEWOOD ST","415 PINEWOOD ST","Good","16 - 20","51-70","No","Street"
"1732",46703,"maple","maple, Norway","Acer","Acer platanoides","CENTER DR","618 CENTER DR","Good","11 - 15","31-50","No","Street"
"1733",48363,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","OLSON PARK","OLSON PARK","Neutral","0 - 5","0 - 10","No","Park"
"1734",49359,"birch","birch, river","Betula","Betula nigra","LESLIE PARK","LESLIE PARK","Good","0 - 5","11-20","No","Park"
"1735",50936,"pine","pine, Austrian","Pinus","Pinus nigra","FULLER PARK","FULLER PARK","Neutral","0 - 5","0 - 10","No","Park"
"1737",49608,"maple","maple, sugar","Acer","Acer saccharum","WOODBURY PARK","WOODBURY PARK","Good","11 - 15","51-70","No","Park"
"1738",36956,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","ASTOR AVE","1290 ASTOR AVE","Very Good","0 - 5","0 - 10","No","Street"
"1740",28890,"maple","maple, sugar","Acer","Acer saccharum","GREENHILLS DR","851 GREENHILLS DR","Good","0 - 5","11-20","No","Street"
"1741",146090,"maple","maple, paperbark","Acer","Acer griseum","GALLUP PARK","GALLUP PARK","Very Good","0 - 5","0 - 10","No","Park"
